,SA2 code,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2026 Population,2031 Population,2036 Population,2023 Population,2024 Population,2025 Population,SA2 name
369,212031561,13219,13339,13452,13370,12861,13042.700000000012,12768.700000000012,12426.200000000012,12083.700000000012,12974.200000000012,12905.700000000012,12837.200000000012,Hampton Park - East
370,212031562,13868,14022,14053,13964,13523,13661.600000000006,13362.399999999994,12988.399999999994,12614.399999999994,13586.799999999988,13512.0,13437.200000000012,Hampton Park - West
371,212041309,12312,12276,12212,12119,11656,12310.588094815335,11086.700000000012,10352.200000000012,9617.700000000012,12364.277981474908,12417.967868134467,12471.65775479404,Clarinda - Oakleigh South
372,212041310,13418,13654,14087,14139,13570,15057.933407315402,14325.900000000023,14720.400000000023,15114.900000000023,15472.825133167673,15887.716859019944,16302.608584872214,Clayton South
373,212041312,23824,23914,23953,23627,22839,24082.769105113635,22051.50000000006,20923.00000000006,19794.50000000006,24212.599955610815,24342.430806107935,24472.261656605115,Dandenong North
374,212041313,10646,10692,10756,10722,10554,10827.51607333096,10566.2,10489.2,10412.2,10874.45172821969,10921.38738310842,10968.32303799715,Dingley Village
375,212041316,7870,7853,7821,7753,7520,7914.4675670277065,7203.399999999994,6803.399999999994,6403.399999999994,7960.890027225381,8007.312487423071,8053.7349476207455,Noble Park North
376,212041317,23210,23540,23763,23636,22537,25184.128675426124,22462.199999999983,21837.199999999983,21212.199999999983,25771.43905066303,26358.749425899703,26946.059801136376,Springvale
377,212041318,13295,13321,13331,13285,12738,13611.0546875,12389.0,11814.0,11239.0,13737.922200520814,13864.789713541657,13991.6572265625,Springvale South
378,212041459,13294,13482,13590,13596,12901,14344.851105291164,12902.200000000012,12566.200000000012,12230.200000000012,14651.537201112718,14958.223296934157,15264.909392755711,Noble Park - East
379,212041460,19784,20015,20260,20215,19818,20978.59154829546,20206.0,20340.0,20474.0,21286.690672348486,21594.789796401514,21902.88892045454,Noble Park - West
380,212041563,23266,23369,23361,22990,21833,21990.300000000047,20692.300000000047,19069.800000000047,17447.300000000047,21665.800000000047,21341.300000000047,21016.800000000047,Dandenong - North
381,212041564,9821,9925,9987,9889,9497,9618.600000000006,9344.99999999997,9002.99999999997,8660.99999999997,9550.200000000012,9481.799999999988,9413.399999999994,Dandenong - South
382,212041565,15855,15818,15802,15597,15204,15198.299999999988,14589.099999999977,13827.599999999977,13066.099999999977,15046.0,14893.699999999953,14741.399999999965,Keysborough - North
383,212041566,12646,13562,14303,14890,15284,16118.199999999953,18759.800000000047,22061.800000000047,25363.800000000047,16778.600000000093,17439.0,18099.399999999907,Keysborough - South
384,212051319,19757,19966,20244,20302,19790,21175.189071377856,20293.20000000001,20494.20000000001,20695.20000000001,21540.544469105196,21905.89986683242,22271.255264559644,Ashwood - Chadstone
385,212051321,22374,22559,22699,22667,21899,22801.171839488612,21850.20000000001,21429.20000000001,21008.20000000001,22915.556466027454,23029.941092566267,23144.32571910511,Glen Waverley - East
386,212051322,20506,20896,21328,21731,21324,22245.502334872144,22886.70000000001,24122.20000000001,25357.70000000001,22602.027796519804,22958.55325816758,23315.078719815356,Glen Waverley - West
387,212051323,16225,16340,16456,16628,16241,16843.313609730103,16602.0,16762.0,16922.0,16994.941125118406,17146.56864050665,17298.196155894897,Mount Waverley - North
388,212051324,19585,19899,20069,20037,19475,20691.803480113624,19755.600000000002,19714.600000000002,19673.600000000002,20966.51701290242,21241.23054569133,21515.944078480126,Mount Waverley - South
