,name,coordinates,real_station_distance,real_station_duration,nearestSchool,nearestSchool_distance,School_Y,School_X,School_Name,real_school_distance,real_school_duration
928,20a Carrier Street Benalla VIC 3672,"[-36.5470604, 145.984078]",190.1,129.3,EdSpace,0.0705,-36.54767,145.9843,EdSpace,0.1,0.2
929,40 Gay Street Benalla VIC 3672,"[-36.5424309, 145.9979175]",191.6,131.0,Australian Christian College Hume,0.5661,-36.54745,145.99905,Australian Christian College Hume,0.9,1.4
930,2/14 Carrier Street Benalla VIC 3672,"[-36.5465573, 145.9837791]",190.2,129.6,EdSpace,0.132,-36.54767,145.9843,EdSpace,0.1,0.3
931,4 Mathieson Court Benalla VIC 3672,"[-36.5486257, 145.9699935]",188.7,129.0,FCJ College,0.667,-36.55277,145.97539,FCJ College,1.0,2.6
932,18 Arundel Street Benalla VIC 3672,"[-36.5507049, 145.9746939]",189.3,127.4,FCJ College,0.2375,-36.55277,145.97539,FCJ College,0.2,0.3
933,36a Cecil Street Benalla VIC 3672,"[-36.559082, 145.9764348]",189.4,127.7,FCJ College,0.7067,-36.55277,145.97539,FCJ College,0.9,1.5
934,21 Hannah Street Benalla VIC 3672,"[-36.5434371, 145.9840153]",190.7,130.2,EdSpace,0.4704,-36.54767,145.9843,EdSpace,1.0,2.7
935,58 Saleyards Road Benalla VIC 3672,"[-36.5380049, 145.9927626]",192.6,132.6,Australian Christian College Hume,1.1897,-36.54745,145.99905,Australian Christian College Hume,1.9,3.0
936,2 Tilson Grove Wangaratta VIC 3677,"[-36.3567274, 146.2975368]",228.3,152.8,Wangaratta West Primary School,0.6817,-36.35413,146.30442,Wangaratta West Primary School,1.4,2.1
937,5/52 Rowan Street Wangaratta VIC 3677,"[-36.3515851, 146.3193083]",231.6,156.6,Wangaratta Primary School,0.9959,-36.35528,146.32942,Wangaratta Primary School,1.5,2.7
938,60 Dixon St Wangaratta VIC 3677,"[-36.3499162, 146.3143651]",230.1,154.8,Wangaratta High School,0.8159,-36.3449,146.30772,Wangaratta High School,1.5,2.8
939,38 Roy Street Wangaratta VIC 3677,"[-36.3571166, 146.3130135]",229.2,153.9,Wangaratta West Primary School,0.8395,-36.35413,146.30442,Wangaratta West Primary School,1.0,2.4
940,120 Templeton St Wangaratta VIC 3677,"[-36.3497327, 146.3148427]",230.1,154.9,Wangaratta High School,0.8345,-36.3449,146.30772,Wangaratta High School,1.5,2.9
941,27 Roy Street East Wangaratta VIC 3677,"[-36.3579529, 146.31493]",229.1,153.7,Wangaratta West Primary School,1.0343,-36.35413,146.30442,Wangaratta West Primary School,2.0,4.1
942,"Second Floor, 56-58 Murphy Street Wangaratta VIC 3677","[-36.3552919, 146.3265915]",230.6,154.9,Wangaratta Primary School,0.2539,-36.35528,146.32942,Wangaratta Primary School,0.4,0.9
943,198 Tone Road Wangaratta VIC 3677,"[-36.3751929, 146.287894]",226.0,149.5,Yarrunga Primary School,2.6442,-36.37256,146.31718,Yarrunga Primary School,3.0,4.5
