,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
364,806/238 Flinders Street Melbourne VIC 3000,"[-37.8173927, 144.9663866]",Stott's College,0.7463,Flinders Street Railway Station (Melbourne City),0.1143,-37.81154,144.97056,Stott's College,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
365,1301/442 Elizabeth St Melbourne VIC 3000,"[-37.8082901, 144.9608496]",River Nile School,0.6129,Melbourne Central Railway Station (Melbourne City),0.236,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
366,9-23 MacKenzie Street Melbourne VIC 3000,"[-37.8075453, 144.9673268]",Stott's College,0.5269,Melbourne Central Railway Station (Melbourne City),0.4915,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
367,3908/639 Lonsdale St Melbourne VIC 3000,"[-37.8151005, 144.9535261]",Ozford College,0.2577,Southern Cross Railway Station (Melbourne City),0.3628,-37.81289,144.95442,Ozford College,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
368,1707/620 Collins St Melbourne VIC 3000,"[-37.81883699999999, 144.954343]",Hester Hornbrook Academy,0.3005,Southern Cross Railway Station (Melbourne City),0.2792,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
369,4004/639 Lonsdale St Melbourne VIC 3000,"[-37.8150611, 144.9532847]",Ozford College,0.2609,Southern Cross Railway Station (Melbourne City),0.3561,-37.81289,144.95442,Ozford College,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
370,807/200 Spencer St Melbourne VIC 3000,"[-37.816228, 144.9532465]",Hester Hornbrook Academy,0.258,Southern Cross Railway Station (Melbourne City),0.2467,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
371,7/9-13 Anthony St Melbourne VIC 3000,"[-37.8092593, 144.9589162]",River Nile School,0.5635,Melbourne Central Railway Station (Melbourne City),0.3321,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
372,2101/200 Spencer St Melbourne VIC 3000,"[-37.816228, 144.9532465]",Hester Hornbrook Academy,0.258,Southern Cross Railway Station (Melbourne City),0.2467,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
373,311 EXHIBITION ST Melbourne VIC 3000,"[-37.808695, 144.9687019]",Stott's College,0.3556,Parliament Railway Station (Melbourne City),0.456,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
374,3407/639 Lonsdale Street Melbourne VIC 3000,"[-37.8150689, 144.9534096]",Ozford College,0.2577,Southern Cross Railway Station (Melbourne City),0.3606,-37.81289,144.95442,Ozford College,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
375,506/139 Bourke Street Melbourne VIC 3000,"[-37.8127358, 144.9691262]",Stott's College,0.1832,Parliament Railway Station (Melbourne City),0.3787,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
