,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
484,302/20 Queens Road Melbourne VIC 3000,"[-37.8406236, 144.9752271]",MacRobertson Girls High School,0.6032,South Yarra Railway Station (South Yarra),1.5229,-37.83589,144.97186,MacRobertson Girls High School,19959,-37.8384,144.9923,South Yarra Railway Station (South Yarra),,,,
485,602/315 La Trobe Street Melbourne VIC 3000,"[-37.8109646, 144.959936]",Ozford College,0.5307,Melbourne Central Railway Station (Melbourne City),0.2627,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
486,2209/81 A'beckett Street Melbourne VIC 3000,"[-37.8092252, 144.9613779]",River Nile School,0.7122,Melbourne Central Railway Station (Melbourne City),0.1311,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
487,2113/33 Mackenzie Street Melbourne VIC 3000,"[-37.80772140000001, 144.966885]",Stott's College,0.5333,Melbourne Central Railway Station (Melbourne City),0.4482,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
488,4805/228 La Trobe Street Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,Melbourne Central Railway Station (Melbourne City),0.0165,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
489,902/199 William St Melbourne VIC 3000,"[-37.8145042, 144.9576035]",Hester Hornbrook Academy,0.2597,Flagstaff Railway Station (Melbourne City),0.3246,-37.81654,144.95615,Hester Hornbrook Academy,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
490,3101/31 Abeckett Street Melbourne VIC 3000,"[-37.8088893, 144.9625546]",Stott's College,0.7639,Melbourne Central Railway Station (Melbourne City),0.1123,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
491,4707/135 A'beckett Street Melbourne VIC 3000,"[-37.8097879, 144.9596466]",Ozford College,0.5748,Melbourne Central Railway Station (Melbourne City),0.2604,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
492,3803/80 A'Beckett Street Melbourne VIC 3000,"[-37.8089991, 144.9610792]",River Nile School,0.676,Melbourne Central Railway Station (Melbourne City),0.1671,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
493,4413/80 A'beckett Street Melbourne VIC 3000,"[-37.8089991, 144.9610792]",River Nile School,0.676,Melbourne Central Railway Station (Melbourne City),0.1671,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
